customer_id,verified_purchase
10441768,1
10443593,1
10444266,0
10445862,1
10446433,1
10446852,1
10447498,0
10448508,1
10448818,0
10449119,1
10449341,0
10449348,0
10449399,1
10449868,0
10450506,0
10450584,1
10451106,0
10452421,1
10452639,1
10452860,1
10453037,1
10453106,2
10453147,1
10454066,1
10454891,1
10455261,1
10455444,1
10455881,1
10456514,1
10456775,1
10456786,1
10456824,2
10456846,1
10456976,0
10457245,1
10457351,1
10457424,1
10457954,1
10458081,1
10460837,1
10461416,1
10462019,1
10462275,1
10462995,1
10463089,1
10463423,1
10463771,1
10463982,1
10464072,1
10464176,1
10464183,1
10465453,1
10465534,1
10465679,1
10465702,1
10466948,1
10468323,0
10468739,0
10470,1
10470581,1
10470897,1
10471576,1
1047255,1
10472674,1
10473184,1
10473930,1
10474351,1
10474492,1
10475785,1
10476439,1
1047649,1
10476607,1
10476612,0
10477104,1
10477859,1
10479024,0
10479840,1
10480179,1
10480345,1
10480498,1
10480608,1
10480998,1
10481204,0
10481263,0
10481691,1
10482740,1
1048294,1
10483590,1
10483728,1
10484100,1
10484234,1
10484395,1
10484791,1
10485020,1
10485638,0
10486077,0
10486505,1
10486518,0
10486766,1
10486838,1
10487202,1
10488151,1
10488152,1
10489661,1
10489829,1
10492351,1
10492716,1
10493846,0
10494308,1
10494757,1
10494998,1
10496338,1
10496884,1
10497796,0
10497915,1
10498068,1
10498257,0
10498380,1
10498505,1
10498866,1
10499235,1
10499394,1
10499652,1
10500236,0
1050048,1
10501232,0
10502061,0
10502413,1
10503875,1
10503914,0
10504419,1
10504511,1
10504524,1
10505017,1
10505352,1
10505603,1
10506583,1
10506737,1
10507525,0
10507763,0
10508401,0
10508646,1
10509014,1
10509683,1
10510162,0
1051033,1
10510763,1
10511169,1
10511388,0
10511563,1
10511620,1
10511621,1
10512206,0
10512301,1
10512586,0
1051280,1
10512867,1
10512918,1
10512928,1
10513255,1
10513454,1
10513649,1
10514397,1
10514567,1
10514854,1
10515176,1
10515441,0
10515446,1
10515655,1
10515956,1
10516952,1
10517756,2
1051806,1
10518376,1
10518545,0
10519189,0
10519275,1
10519700,0
10520138,1
10520562,0
10521173,1
10522034,1
10522282,1
10522301,1
10522546,1
10523339,1
10523379,1
10524182,1
10524795,1
10524817,1
10524932,0
1052547,1
10526440,0
1052715,1
10527251,1
10528015,1
10528049,1
10529192,1
10530124,0
10530392,1
10530741,0
10530818,1
10531114,1
10531209,0
10531336,1
10531730,1
10532019,1
10532065,0
10533703,1
10534867,1
10535994,1
10536453,1
10536656,1
10537209,0
10537777,0
10538225,1
10538924,1
10539425,1
10539542,1
10540390,1
10541143,1
10541827,0
10541909,1
10542103,1
10543281,1
10544036,1
10544480,1
10545153,1
10545271,1
10545978,1
10546365,1
10546572,1
10546976,1
10547096,1
10547180,1
10547329,1
10547538,1
10548385,1
10548528,1
10549048,1
10549943,1
10550394,0
10550558,1
10550761,0
10550793,0
10551518,1
10551614,1
10551927,1
10552405,1
10552542,1
10552607,1
10552977,1
10554045,1
10554860,2
10554971,1
10554992,1
10555392,1
10556273,1
10556366,0
10556797,0
10557076,1
10557288,1
10557306,1
10557633,0
10557954,1
10558328,1
10560197,1
10560386,1
10560666,1
10562021,1
10563390,1
10564206,1
10564784,1
10565252,1
10565534,1
1056570,1
10565988,1
10566013,1
10566019,1
10566499,0
10567658,0
10568033,1
1056847,1
10569498,1
10570007,1
1057015,0
10570483,1
10570571,1
10571622,1
10572197,0
10573148,1
10573628,1
10574523,0
10574949,1
10574999,0
10575429,1
10576193,1
10576288,0
10577494,1
10577943,0
10578629,1
10578907,1
10579500,1
10580146,0
10580560,1
10580927,0
10581021,1
10581552,1
10582389,1
10582571,1
10582705,1
10582972,1
10584018,1
10584070,0
10584467,1
10587178,0
10588220,0
10588296,1
10588787,1
10589226,0
10589567,1
10590007,1
10590105,1
10590679,1
10590947,1
1059142,1
10591689,2
10591698,0
10592389,1
1059264,1
10592641,1
10592739,1
10593656,1
10593736,1
10593989,1
10594114,1
10595489,1
10596393,0
10596469,1
10596700,1
10598132,0
10598164,0
10598278,0
10599300,1
10599715,1
10599778,1
10600122,0
10600198,1
10600968,0
10602310,0
10602942,1
10603233,1
10603475,1
10603913,1
10604684,1
10605203,1
10605300,0
10606687,1
10607000,1
10607137,1
10607185,1
10607284,0
10607512,0
10607879,0
10608125,1
10608248,1
10608365,1
10609029,1
10609585,0
10609854,0
10610491,1
