,track_id,id,name,followers,genres,popularity,extract_date
146,4kQ3rrJ54f1Hf8nCNxCUyl,7oQ6zxSp4eQjvVkk9rGIDV,マルシィ,98619,"['j-pop', 'japanese teen pop']",55,2023-03-29
148,4s0uLfMAgXbPgmPgOVG7qe,2CZXBNQi0AcQUVeYVexnc7,Noa - Noa,37103,['cumbia villera'],42,2023-03-29
150,51Msclnf6boUX26DmZvViX,7u4ayw4QFEsolPxZgnPAMT,Jonasu,13347,"['dutch edm', 'pop dance', 'tropical house']",55,2023-03-29
151,51Msclnf6boUX26DmZvViX,6RHKEd9dpzQ4c09x8Zdaxu,Clara Mae,321974,"['alt z', 'electropop', 'pop', 'post-teen pop', 'social media pop', 'swedish pop']",60,2023-03-29
154,56rlMjA64EogThHrCENHDA,1URVdcNYXigvk6Dj0fHYOM,skaiwater,56158,"['hyperpop', 'nottingham hip hop']",59,2023-03-29
156,5F6gniXisSbOKtfgIJIKoD,61S5H9Lxn1PDUvu1TV0kCX,Knox,39584,[],53,2023-03-29
158,5Mm3kAVo1cDWwdiciiwsJP,64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,8074188,"['dance pop', 'pop', 'post-teen pop']",84,2023-03-29
159,5Mm3kAVo1cDWwdiciiwsJP,1yqxFtPHKcGcv6SXZNdyT9,MK,265149,"['dance pop', 'deep groove house', 'edm', 'house', 'pop dance', 'tropical house']",69,2023-03-29
162,5Xg5bGbWHToIMSsqWxOsej,6FfjnGXMhxSsJTuGLWBDth,HEALTH,188748,"['grave wave', 'metropopolis', 'noise pop', 'noise rock']",58,2023-03-29
163,5Xg5bGbWHToIMSsqWxOsej,77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,12007614,"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']",85,2023-03-29
167,5rYJdqK0TTWSqSRbOnsLmg,29zsVzEH33dD5QqxeL8dvy,Vini Vici,477102,['progressive uplifting trance'],64,2023-03-29
168,5rYJdqK0TTWSqSRbOnsLmg,1RQ3ZwCNI7KniEKIN5kkio,MATTN,149481,"['belgian edm', 'electro house', 'pop dance', 'sky room']",55,2023-03-29
172,5tvVcsc5voPglTZi7gLtX4,3sXwEUqxSzb11VpuFa5cvJ,Stacey Ryan,133688,[],69,2023-03-29
174,5zzbToGMuEli0E7RVFIhDA,7IAFAOtc9kTYNTizhLSWM6,Hollow Coves,522898,['indie folk'],66,2023-03-29
176,6Dp3TqrwcYRs3KChuVlPMx,7JNff2HS8nrk3x0VZ5pT2X,LAYA,22132,"['alternative r&b', 'indie r&b']",45,2023-03-29
178,6EjBcoyPVn99cpRfoDiuRf,1jtvmXiemNFkPO11NMdjfu,Nsqk,62990,"['r&b en espanol', 'rap regio', 'urbano mexicano']",56,2023-03-29
180,6EmRDtmAq556gtaj0rOjsW,1bqxdqvUtPWZri43cKHac8,MAX,804223,"['chill r&b', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",70,2023-03-29
181,6EmRDtmAq556gtaj0rOjsW,3pc0bOVB5whxmD50W79wwO,keshi,2367634,"['chill r&b', 'pop']",80,2023-03-29
182,6EmRDtmAq556gtaj0rOjsW,0P2bZXPyjHYRW4guHVAFl1,ARMNHMR,94606,"['edm', 'future bass', 'melodic dubstep', 'pop dance', 'pop edm']",51,2023-03-29
186,6bTCdqB1PN5J93hiiZvQzW,4L0gz16xuM1as1OgYzh1SR,Kensuke Ushio,83824,"['anime score', 'japanese soundtrack']",61,2023-03-29
188,6gQoClTWFGA45WvjJW8XAc,0KKUc4amZyvswV2YL6WTar,Mariah Angeliq,422341,"['dominican pop', 'perreo', 'rap latina', 'trap latino', 'urbano latino', 'urbano mexicano']",67,2023-03-29
190,6jzTj9ABoY1eGcTBYJDRnx,4EiI7Vls0NB16jLuexzCHC,Paula Cendejas,23433,"['dominican pop', 'r&b en espanol', 'urbano latino', 'urbano mexicano']",52,2023-03-29
191,6jzTj9ABoY1eGcTBYJDRnx,1aWJsBQa67l72j1VT3D6Ow,Micro TDH,1569725,"['trap venezolano', 'urbano latino', 'venezuelan hip hop']",70,2023-03-29
194,6nrvIIOUmYydHeN8oSGOW5,2joIhhX3Feq47H4QXVDOr3,RINI,640822,"['australian r&b', 'bedroom soul', 'chill r&b', 'pop']",63,2023-03-29
196,6u9pA8Izk34kgKXd0ukLv3,4adSXA1GDOxNG7Zw89YHyz,mazie,99999,"['indie pop', 'modern indie pop']",63,2023-03-29
198,6vR67M62RldzHCU9Bb1ZQf,20gsENnposVs2I4rQ5kvrf,Sam Feldt,741101,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house']",74,2023-03-29
199,6vR67M62RldzHCU9Bb1ZQf,25tMQOrIU4LlUo6Sv8v5SE,Gavin James,696813,"['irish pop', 'neo mellow']",62,2023-03-29
202,723BtHZOTCxN2xOselHQpG,23TFHmajVfBtlRx5MXqgoz,Sfera Ebbasta,5314136,"['italian hip hop', 'italian pop', 'trap italiana', 'trap latino']",81,2023-03-29
203,723BtHZOTCxN2xOselHQpG,1fctva4kpRbg2k3v7kwRuS,Rvssian,2289600,"['latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",71,2023-03-29
