,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1624,0.434,0.825,0,-4.834,1,0.0576,0.112,0.0,0.274,0.821,103.599,audio_features,3yhmkz3HrIXgG7SYQpiK3n,spotify:track:3yhmkz3HrIXgG7SYQpiK3n,https://api.spotify.com/v1/tracks/3yhmkz3HrIXgG7SYQpiK3n,https://api.spotify.com/v1/audio-analysis/3yhmkz3HrIXgG7SYQpiK3n,157067,4
1625,0.474,0.873,9,-7.415,0,0.037,0.385,0.287,0.0629,0.514,114.713,audio_features,2RsxfhrDrh2aIOkcO63t8M,spotify:track:2RsxfhrDrh2aIOkcO63t8M,https://api.spotify.com/v1/tracks/2RsxfhrDrh2aIOkcO63t8M,https://api.spotify.com/v1/audio-analysis/2RsxfhrDrh2aIOkcO63t8M,376160,4
1626,0.566,0.527,0,-11.216,1,0.034,0.03,3.25e-06,0.115,0.157,97.281,audio_features,3NNkJwiHucP5QyUEAIMXra,spotify:track:3NNkJwiHucP5QyUEAIMXra,https://api.spotify.com/v1/tracks/3NNkJwiHucP5QyUEAIMXra,https://api.spotify.com/v1/audio-analysis/3NNkJwiHucP5QyUEAIMXra,184733,4
1627,0.219,0.939,4,-9.275,1,0.226,0.321,0.144,0.993,0.162,140.832,audio_features,6OjduWenRVYBRPG0RjgPFQ,spotify:track:6OjduWenRVYBRPG0RjgPFQ,https://api.spotify.com/v1/tracks/6OjduWenRVYBRPG0RjgPFQ,https://api.spotify.com/v1/audio-analysis/6OjduWenRVYBRPG0RjgPFQ,228507,4
1628,0.592,0.562,8,-5.501,1,0.024,0.0179,0.0,0.354,0.537,93.989,audio_features,6PO8T4qt3FHfauSs98zO9j,spotify:track:6PO8T4qt3FHfauSs98zO9j,https://api.spotify.com/v1/tracks/6PO8T4qt3FHfauSs98zO9j,https://api.spotify.com/v1/audio-analysis/6PO8T4qt3FHfauSs98zO9j,323587,4
1629,0.545,0.853,1,-4.699,1,0.029,0.0364,0.0,0.117,0.525,98.02,audio_features,7vwXjDrZT2mqiFynlEwwgG,spotify:track:7vwXjDrZT2mqiFynlEwwgG,https://api.spotify.com/v1/tracks/7vwXjDrZT2mqiFynlEwwgG,https://api.spotify.com/v1/audio-analysis/7vwXjDrZT2mqiFynlEwwgG,320373,4
1630,0.467,0.257,5,-10.123,1,0.0314,0.775,0.0,0.118,0.255,106.605,audio_features,0I2dk5QD1zMVXQi5BWQFMK,spotify:track:0I2dk5QD1zMVXQi5BWQFMK,https://api.spotify.com/v1/tracks/0I2dk5QD1zMVXQi5BWQFMK,https://api.spotify.com/v1/audio-analysis/0I2dk5QD1zMVXQi5BWQFMK,228000,3
1631,0.681,0.938,5,-4.246,1,0.0557,0.0288,0.000264,0.0634,0.6,122.991,audio_features,0albLGvYx6ftOUJ7KF0i5I,spotify:track:0albLGvYx6ftOUJ7KF0i5I,https://api.spotify.com/v1/tracks/0albLGvYx6ftOUJ7KF0i5I,https://api.spotify.com/v1/audio-analysis/0albLGvYx6ftOUJ7KF0i5I,297333,4
1632,0.488,0.921,8,-4.729,1,0.061,0.00113,0.0,0.13,0.231,95.934,audio_features,30CenAPBR2VmH91r4Um32b,spotify:track:30CenAPBR2VmH91r4Um32b,https://api.spotify.com/v1/tracks/30CenAPBR2VmH91r4Um32b,https://api.spotify.com/v1/audio-analysis/30CenAPBR2VmH91r4Um32b,235347,4
1633,0.531,0.593,11,-5.147,0,0.0305,0.467,0.0,0.209,0.23,110.05,audio_features,71fkXsB3jlNbQ8p2R4HEsc,spotify:track:71fkXsB3jlNbQ8p2R4HEsc,https://api.spotify.com/v1/tracks/71fkXsB3jlNbQ8p2R4HEsc,https://api.spotify.com/v1/audio-analysis/71fkXsB3jlNbQ8p2R4HEsc,223422,4
1634,0.445,0.555,3,-6.142,1,0.0297,0.746,0.0,0.136,0.522,145.003,audio_features,1rw8VCZDhSjbuFTJvDhpeW,spotify:track:1rw8VCZDhSjbuFTJvDhpeW,https://api.spotify.com/v1/tracks/1rw8VCZDhSjbuFTJvDhpeW,https://api.spotify.com/v1/audio-analysis/1rw8VCZDhSjbuFTJvDhpeW,209654,4
1635,0.478,0.382,9,-8.064,0,0.0272,0.438,0.0,0.193,0.184,137.872,audio_features,4ifzLaIjOAxbFMC12T7xxi,spotify:track:4ifzLaIjOAxbFMC12T7xxi,https://api.spotify.com/v1/tracks/4ifzLaIjOAxbFMC12T7xxi,https://api.spotify.com/v1/audio-analysis/4ifzLaIjOAxbFMC12T7xxi,259507,4
